,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,1018GS2026,GS,131.5,131.5,131.5,131.5,131.5,100,0.13,1,100,100.00,01-Dec-2023
1,20MICRONS,EQ,184.0,186.0,174.25,176.45,183.6,107815,194.94,5696,68514,63.55,01-Dec-2023
2,21STCENMGM,EQ,24.3,24.3,24.3,24.3,23.85,12738,3.1,35,12738,100.00,01-Dec-2023
3,360ONE,EQ,575.0,588.0,574.45,585.8,572.25,468020,2733.85,27117,290034,61.97,01-Dec-2023
4,3IINFOLTD,EQ,46.85,47.2,44.1,44.6,46.5,1148838,523.86,6353,805688,70.13,01-Dec-2023
5,3MINDIA,EQ,31101.0,31486.95,30600.0,31088.45,31037.8,3005,936.93,1684,1375,45.76,01-Dec-2023
6,3PLAND,EQ,26.0,26.75,25.8,26.2,26.6,34577,9.09,692,19768,57.17,01-Dec-2023
7,515GS2025,GS,97.0,97.0,95.65,97.0,97.0,16,0.02,5,16,100.00,01-Dec-2023
8,563GS2026,GS,105.3,105.3,105.3,105.3,100.31,2,0.0,2,0,0.00,01-Dec-2023
9,574GS2026,GS,95.11,96.75,95.11,96.75,96.3,10,0.01,2,10,100.00,01-Dec-2023
10,5PAISA,EQ,515.8,524.25,512.4,514.65,518.05,127796,661.85,11705,62958,49.26,01-Dec-2023
11,610GS2031,GS,93.67,95.2,93.67,95.2,93.67,6607,6.21,8,6401,96.88,01-Dec-2023
12,63MOONS,EQ,515.0,516.6,481.1,515.6,492.0,1278468,6527.67,20039,603445,47.20,01-Dec-2023
13,654GS2032,GS,97.75,97.75,97.7,97.7,98.25,35001,34.21,5,35001,100.00,01-Dec-2023
14,667GS2035,GS,96.41,98.0,96.41,98.0,97.89,13,0.01,2,13,100.00,01-Dec-2023
15,669GS2024,GS,102.34,102.35,102.34,102.35,102.48,3001,3.07,4,3001,100.00,01-Dec-2023
16,676GS2061,GS,91.95,96.78,91.95,96.78,96.78,3,0.0,2,3,100.00,01-Dec-2023
17,695GS2061,GS,98.5,98.6,98.5,98.6,98.25,600,0.59,5,600,100.00,01-Dec-2023
18,699GS2026,GS,100.1,100.75,100.1,100.1,100.0,5662,5.67,14,5662,100.00,01-Dec-2023
19,710GS2029,GS,99.8,100.5,99.8,100.18,100.22,11722,11.75,14,11206,95.60,01-Dec-2023
20,716GS2050,GS,100.0,104.5,100.0,104.5,105.0,2,0.0,2,1,50.00,01-Dec-2023
21,717GS2030,GS,100.7,101.0,100.7,101.0,100.0,16200,16.32,4,16200,100.00,01-Dec-2023
22,718GS2033,GS,101.7,101.7,101.13,101.7,101.9,2200,2.24,4,2100,95.45,01-Dec-2023
23,718GS2037,GS,100.7,101.0,100.63,100.99,100.91,67497,68.17,26,67497,100.00,01-Dec-2023
24,725GS2063,GS,101.5,101.5,100.7,101.0,101.24,119674,121.05,62,118864,99.32,01-Dec-2023
