SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,93.2,94.0,89.5,90.45,92.65,151265,138.35,2428,102683,67.88,02-Jun-2023
21STCENMGM,EQ,17.9,18.25,17.55,17.65,17.9,1855,0.33,19,1772,95.53,02-Jun-2023
360ONE,EQ,423.8,426.0,416.1,419.1,419.9,269471,1132.64,8681,182367,67.68,02-Jun-2023
3IINFOLTD,EQ,31.6,33.15,31.6,32.5,31.65,768773,250.51,3992,372004,48.39,02-Jun-2023
3MINDIA,EQ,26340.0,26501.9,26055.45,26253.95,26290.7,5070,1331.98,2752,2376,46.86,02-Jun-2023
3PLAND,EQ,23.4,23.4,22.25,22.95,23.2,17654,4.05,216,11528,65.30,02-Jun-2023
4THDIM,BE,19.2,19.2,19.2,19.2,19.6,9242,1.77,81,-,-,02-Jun-2023
5PAISA,EQ,375.45,378.0,363.3,368.35,367.7,90121,331.63,4660,33364,37.02,02-Jun-2023
618GS2024,GS,100.5,100.5,100.5,100.5,100.5,32,0.03,7,32,100.00,02-Jun-2023
622GS2035,GS,94.55,94.55,94.55,94.55,94.0,10,0.01,1,10,100.00,02-Jun-2023
63MOONS,EQ,168.4,169.85,164.75,165.55,166.8,75007,124.86,2744,42463,56.61,02-Jun-2023
654GS2032,GS,99.35,99.35,99.3,99.3,99.37,449,0.45,2,449,100.00,02-Jun-2023
667GS2050,GS,96.5,97.18,96.5,97.18,97.0,1097,1.06,4,1097,100.00,02-Jun-2023
669GS2024,GS,103.0,103.0,102.85,103.0,103.0,1266,1.3,12,1266,100.00,02-Jun-2023
676GS2061,GS,99.85,99.95,99.85,99.95,99.85,325,0.32,2,325,100.00,02-Jun-2023
689GS2025,GS,102.5,102.5,102.5,102.5,102.5,2000,2.05,2,2000,100.00,02-Jun-2023
68GS2060,GS,98.9,98.9,98.9,98.9,98.9,650,0.64,1,650,100.00,02-Jun-2023
695GS2061,GS,101.25,101.25,100.75,100.75,106.04,240,0.24,10,240,100.00,02-Jun-2023
699GS2026,GS,100.75,100.75,100.5,100.5,100.65,250,0.25,2,250,100.00,02-Jun-2023
699GS2051,GS,101.9,101.9,100.9,101.8,100.51,59,0.06,10,23,38.98,02-Jun-2023
706GS2028,GS,101.4,101.51,101.4,101.51,101.75,1000,1.01,3,1000,100.00,02-Jun-2023
710GS2029,GS,101.69,101.69,101.6,101.66,101.68,44822,45.57,39,44272,98.77,02-Jun-2023
716GS2050,GS,103.0,103.0,103.0,103.0,102.47,2,0.0,1,2,100.00,02-Jun-2023
717GS2030,GS,102.5,102.5,102.5,102.5,102.0,14001,14.35,4,14001,100.00,02-Jun-2023
726GS2029,GS,103.5,103.5,103.5,103.5,103.5,117,0.12,5,117,100.00,02-Jun-2023
726GS2032,GS,103.7,103.95,103.7,103.89,103.7,67221,69.86,9,57221,85.12,02-Jun-2023
732GS2024,GS,102.2,102.2,102.0,102.0,102.0,5000,5.1,2,5000,100.00,02-Jun-2023
738GS2027,GS,105.2,105.5,105.07,105.43,105.06,34649,36.47,19,34649,100.00,02-Jun-2023
741GS2036,GS,106.75,106.75,106.4,106.61,106.45,2001,2.13,5,2001,100.00,02-Jun-2023
754GS2036,GS,104.15,104.35,104.0,104.23,104.17,835841,870.7,196,800742,95.80,02-Jun-2023
795GS2032,GS,109.0,109.0,109.0,109.0,108.74,119,0.13,2,119,100.00,02-Jun-2023
817GS2044,GS,119.0,119.0,119.0,119.0,119.0,43,0.05,3,43,100.00,02-Jun-2023
824GS2033,GS,113.5,113.5,113.5,113.5,109.0,237,0.27,1,237,100.00,02-Jun-2023
828GS2032,GS,110.25,110.75,110.25,110.75,109.75,5936,6.56,4,5936,100.00,02-Jun-2023
897GS2030,GS,120.75,120.75,120.75,120.75,115.0,1000,1.21,1,1000,100.00,02-Jun-2023
A2ZINFRA,EQ,8.15,8.3,7.85,8.1,8.05,837118,67.65,1079,557000,66.54,02-Jun-2023
AAATECH,EQ,58.55,58.9,56.25,57.25,57.65,3206,1.84,235,1261,39.33,02-Jun-2023
AAKASH,EQ,6.5,6.5,6.4,6.45,6.45,238924,15.4,443,211500,88.52,02-Jun-2023
AAREYDRUGS,EQ,29.45,31.1,29.45,30.85,29.85,62684,19.14,534,40157,64.06,02-Jun-2023
AARON,EQ,220.7,224.0,216.1,221.7,216.9,28129,62.11,1079,11815,42.00,02-Jun-2023
AARTIDRUGS,EQ,456.0,458.9,450.55,456.35,454.65,120933,550.39,6970,35628,29.46,02-Jun-2023
AARTIIND,EQ,519.0,520.55,512.35,513.65,514.6,600008,3089.96,17266,248100,41.35,02-Jun-2023
AARTIPHARM,EQ,371.0,372.15,362.55,364.05,366.65,74063,271.23,4272,44031,59.45,02-Jun-2023
AARTIPP,E1,292.45,292.45,285.0,286.4,292.5,230,0.66,52,229,99.57,02-Jun-2023
