Company name,NSE Symbol,Market Cap,Categorization
20 MICRONS LIMITED,20MICRONS,485.54,Small Cap
TWENTYFIRST CENTURY MANAGEMENT SERV,21STCENMGM,22.4,Small Cap
360 ONE WAM LIMITED,360ONE,19344.31,Small Cap
3I INFOTECH LIMITED,3IINFOLTD,643.35,Small Cap
3M INDIA LTD.,3MINDIA,34145.68, Mid Cap 
3P LAND HOLDINGS LTD.,3PLAND,43.14,Small Cap
5PAISA CAPITAL LIMITED,5PAISA,1389.69,Small Cap
63 MOONS TECHNOLOGIES LIMITED,63MOONS,1509.4,Small Cap
A2Z INFRA ENGINEERING LIMITED,A2ZINFRA,164.14,Small Cap
AAA TECHNOLOGIES LIMITED,AAATECH,81.83,Small Cap
AAKASH EXPLORATION SERVICES LTD.,AAKASH,70.59,Small Cap
AAREY DRUGS & PHARMACEUTICALS LTD,AAREYDRUGS,112.25,Small Cap
AARON INDUSTRIES LTD.,AARON,262.94,Small Cap
AARTECH SOLONICS LIMITED,AARTECH,155.01,Small Cap
AARTI DRUGS LIMITED,AARTIDRUGS,4840.67,Small Cap
AARTI INDUSTRIES LTD,AARTIIND,18215.16,Small Cap
AARTI PHARMALABS LIMITED,AARTIPHARM,3679.58,Small Cap
AARTI SURFACTANTS LIMITED,AARTISURF,471.56,Small Cap
"AARVEE DENIMS & EXPORTS LTD.,",AARVEEDEN,56.27,Small Cap
AARVI ENCON LTD.,AARVI,195.96,Small Cap
AAVAS FINANCIERS LIMITED,AAVAS,12437.98,Small Cap
"ABAN  OFFSHORE LTD.,",ABAN,274.8,Small Cap
ABB INDIA LIMITED,ABB,92481, Large Cap 
ADITYA BIRLA CAPITAL LTD,ABCAPITAL,46188.74, Mid Cap 
ADITYA BIRLA FASHION AND RETAIL LIMITED,ABFRL,20869.24,Small Cap
ABM INTERNATIONAL LTD.,ABMINTLLTD,41.4,Small Cap
ADITYA BIRLA SUN LIFE AMC LIMITED,ABSLAMC,12260.35,Small Cap
ACC LTD,ACC,36885.34, Mid Cap 
ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA,2170.71,Small Cap
ACCURACY SHIPPING LTD.,ACCURACY,137.7,Small Cap
ACTION CONSTRUCTION EQUIPMENTS LTD.,ACE,8868.94,Small Cap
ACE INTEGRATED SOLUTIONS LTD.,ACEINTEG,36.88,Small Cap
ARCHEAN CHEMICAL INDUSTRIES LIMITED,ACI,7140.93,Small Cap
"ANDHRA CEMENT LTD.,",ACL,910.94,Small Cap
ALLCARGO GATI LIMITED,ACLGATI,1878.32,Small Cap
ADANI ENERGY SOLUTIONS LIMITED,ADANIENSOL,93804.07, Large Cap 
ADANI ENTERPRISES LTD.,ADANIENT,282722.35, Large Cap 
ADANI GREEN ENERGY LIMITED,ADANIGREEN,166936.9, Large Cap 
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,ADANIPORTS,179516.87, Large Cap 
ADANI POWER LIMITED,ADANIPOWER,139478.89, Large Cap 
ADF FOODS LIMITED.,ADFFOODS,2391.44,Small Cap
ARCHIDPLY DECOR LIMITED,ADL,45.5,Small Cap
ADOR WELDING LTD.,ADORWELD,1718.75,Small Cap
ADROIT INFOTECH LIMITED,ADROITINFO,42.19,Small Cap
ALLIED DIGITAL SERVICES LIMITED,ADSL,704.94,Small Cap
ADVANI HOTELS & RESORTS (INDIA) LTD.,ADVANIHOTR,448.84,Small Cap
ADVANCED ENZYME TECHNOLOGIES LIMITED,ADVENZYMES,3639.36,Small Cap
AEGIS LOGISTICS LTD.,AEGISCHEM,12106.98,Small Cap
AEROFLEX INDUSTRIES LIMITED,AEROFLEX,2006.06,Small Cap
AETHER INDUSTRIES LIMITED,AETHER,12690.91,Small Cap
AFFLE (INDIA) LIMITED,AFFLE,14618.03,Small Cap
AGARWAL INDUSTRIAL CORPORATION LIMITED,AGARIND,1320.09,Small Cap
AGI GREENPAC LIMITED,AGI,5245.3,Small Cap
AGRI-TECH INDIA LTD.,AGRITECH,104.09,Small Cap
AGRO PHOS INDIA LTD.,AGROPHOS,75.07,Small Cap
AGS TRANSACT TECHNOLOGIES LIMITED,AGSTRA,832.79,Small Cap
ABANS HOLDINGS LIMITED,AHL,1545.04,Small Cap
AHLADA ENGINEERS LTD.,AHLADA,145.06,Small Cap
ASIAN HOTELS (EAST) LIMITED,AHLEAST,233.13,Small Cap
AHLUWALIA CONTRACTS (INDIA) LTD,AHLUCONT,4901.93,Small Cap
AIA ENGINEERING LTD.,AIAENG,33368.06, Mid Cap 
AIRAN LIMITED,AIRAN,278.2,Small Cap
AIRO LAM LTD.,AIROLAM,170.82,Small Cap
AJANTA PHARMA LTD.,AJANTPHARM,22458.7, Mid Cap 
AJMERA REALTY & INFRA INDIA LIMITED,AJMERA,1392.41,Small Cap
AJOONI BIOTECH LTD.,AJOONI,41.34,Small Cap
AKASH INFRA PROJECTS LTD.,AKASH,49.69,Small Cap
AKG EXIM LTD.,AKG,83.47,Small Cap
AKI INDIA LIMITED,AKI,128.51,Small Cap
AKSHAR SPINTEX LIMITED,AKSHAR,172.82,Small Cap
AKSHARCHEM (INDIA) LTD.,AKSHARCHEM,209.96,Small Cap
AKSH OPTIFIBRE LTD.,AKSHOPTFBR,171.73,Small Cap
AKZO NOBEL INDIA LIMITED,AKZOINDIA,11806.21,Small Cap
ALANKIT LIMITED,ALANKIT,272.06,Small Cap
"ALBERT DAVID LTD.,",ALBERTDAVD,471.42,Small Cap
ALEMBIC  LTD,ALEMBICLTD,2094.17,Small Cap
ALICON CASTALLOY LIMITED,ALICON,1362.51,Small Cap
ALKALI METALS LIMITED,ALKALI,120.85,Small Cap
ALKEM LABORATORIES LIMITED,ALKEM,47646.36, Mid Cap 
"ALKYL AMINES CHEMICALS LTD.,",ALKYLAMINE,11935.13,Small Cap
ALLCARGO LOGISTICS LTD,ALLCARGO,6833.51,Small Cap
ALLSEC TECHNOLOGIES LTD.,ALLSEC,931.41,Small Cap
ALMONDZ GLOBAL SECURITIES LIMITED,ALMONDZ,230.1,Small Cap
ALOK INDUSTRIES LTD.,ALOKINDS,9212.72,Small Cap
ALPA LABORATORIES LIMITED,ALPA,170.15,Small Cap
ALPHAGEO (INDIA)LTD.,ALPHAGEO,183.57,Small Cap
ALPS INDUSTRIES LTD.,ALPSINDUS,8.09,Small Cap
AMBER ENTERPRISES INDIA LIMITED,AMBER,9616.29,Small Cap
AMBICA AGARBATHIES & AROMA IND. LTD.,AMBICAAGAR,59.35,Small Cap
AMBIKA COTTON MILLS LTD.,AMBIKCO,912.98,Small Cap
AMBUJA CEMENTS LTD.,AMBUJACEM,88461.86, Large Cap 
