Ticker,Description,Sector,Industry,Exchange
20MICRONS,20 MICRONS LTD,Process Industries,Chemicals: Major Diversified,NSE
21STCENMGM,21ST CENTURY MANAG,Finance,Investment Banks/Brokers,NSE
360ONE,360 ONE WAM LTD,Finance,Investment Managers,NSE
3IINFOLTD,3I INFOTECH LTD,Technology Services,Information Technology Services,NSE
3MINDIA,3M INDIA LTD,Producer Manufacturing,Industrial Conglomerates,NSE
3PLAND,3P LAND HOLDINGS L,Finance,Real Estate Development,NSE
4THDIM,FOURTH DIMENSION SOL L,Commercial Services,Miscellaneous Commercial Services,NSE
5PAISA,5PAISA CAPITAL LTD,Finance,Investment Banks/Brokers,NSE
63MOONS,63 MOONS TECHNOLOG,Technology Services,Packaged Software,NSE
A2ZINFRA,A2Z INFRA ENGINEER,Industrial Services,Engineering & Construction,NSE
AAATECH,AAA TECHNOLOGIES LTD,Technology Services,Information Technology Services,NSE
AAKASH,AAKASH EXPLORATION,Energy Minerals,Oil & Gas Production,NSE
AAREYDRUGS,AAREY DRUGS & PHARM LTD,Health Technology,Pharmaceuticals: Major,NSE
AARON,AARON INDUSTRIES LTD,Producer Manufacturing,Building Products,NSE
AARTIDRUGS,AARTI DRUGS LTD,Health Technology,Pharmaceuticals: Major,NSE
AARTIIND,AARTI IND LTD,Process Industries,Chemicals: Major Diversified,NSE
AARTIPHARM,AARTI PHARMALABS LTD,Process Industries,Chemicals: Major Diversified,NSE
AARTIPP.E1,AARTI SURFACTANTS LTD,Process Industries,Chemicals: Major Diversified,NSE
AARVEEDEN,AARVEE DENIMS & EX,Process Industries,Textiles,NSE
AARVI,AARVI ENCON LTD,Commercial Services,Personnel Services,NSE
AAVAS,AAVAS FINANCIERS L,Finance,Finance/Rental/Leasing,NSE
ABAN,ABAN OFFSHORE,Industrial Services,Contract Drilling,NSE
ABB,ABB INDIA LTD,Producer Manufacturing,Electrical Products,NSE
ABBOTINDIA,ABBOTT INDIA LTD,Health Technology,Pharmaceuticals: Major,NSE
